Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
emp1000,bob,davis,25,active,2021-04-02,59767.65,bob.davis@example.com,,3.0,True,devops,california
emp1001,bob,brown,32,active,2020-07-10,65304.66,bob.brown@example.com,,5.0,True,finance,texas
emp1002,alice,jones,32,pending,2023-12-07,88145.9,alice.jones@example.com,,4.0,True,admin,nevada
emp1003,eva,davis,25,inactive,2021-11-27,69450.99,eva.davis@example.com,,4.0,True,admin,nevada
emp1004,frank,williams,25,active,2022-01-05,109324.61,frank.williams@example.com,,4.0,False,cloud tech,florida
emp1005,alice,garcia,40,inactive,2020-06-10,88642.84,alice.garcia@example.com,,4.0,False,sales,texas
emp1006,frank,jones,32,active,2020-04-03,96288.43,frank.jones@example.com,,4.0,False,admin,nevada
emp1007,bob,jones,30,inactive,2022-07-17,94497.91,bob.jones@example.com,,3.0,True,cloud tech,florida
emp1008,frank,davis,35,inactive,2023-12-08,115565.82,frank.davis@example.com,,5.0,True,admin,nevada
emp1009,charlie,johnson,32,active,2022-08-04,76561.88,charlie.johnson@example.com,,5.0,True,devops,new york
emp1010,david,williams,35,active,2024-07-06,72081.71,david.williams@example.com,,3.0,False,cloud tech,new york
emp1011,david,davis,32,active,2023-09-04,84946.19,david.davis@example.com,,4.0,True,devops,california
emp1012,heidi,williams,30,active,2024-03-05,89295.77,heidi.williams@example.com,,5.0,False,hr,new york
emp1013,grace,williams,32,active,2020-10-10,85666.84,grace.williams@example.com,,4.0,False,finance,california
emp1014,alice,garcia,25,active,2024-06-10,97633.68,alice.garcia@example.com,,5.0,True,admin,nevada
emp1015,grace,jones,40,pending,2021-05-29,117975.49,grace.jones@example.com,,4.0,True,sales,florida
emp1016,alice,brown,25,inactive,2024-04-23,94867.33,alice.brown@example.com,,4.0,False,devops,illinois
emp1017,grace,garcia,30,pending,2024-11-28,100377.65,grace.garcia@example.com,,3.0,True,finance,texas
emp1018,charlie,garcia,32,inactive,2024-09-19,94726.46,charlie.garcia@example.com,,5.0,False,cloud tech,nevada
emp1019,charlie,williams,35,pending,2020-01-02,91926.12,charlie.williams@example.com,,3.0,True,admin,illinois
emp1020,bob,miller,35,active,2021-05-08,111460.67,bob.miller@example.com,,5.0,True,hr,new york
emp1021,bob,jones,40,active,2020-09-19,96182.56,bob.jones@example.com,,4.0,False,cloud tech,illinois
emp1022,charlie,johnson,35,inactive,2021-03-09,115023.94,charlie.johnson@example.com,,3.0,True,sales,illinois
emp1023,david,garcia,35,pending,2022-02-03,80667.01,david.garcia@example.com,,5.0,False,finance,nevada
emp1024,bob,brown,30,inactive,2020-02-13,91181.61,bob.brown@example.com,,4.0,True,admin,texas
emp1025,david,miller,25,pending,2020-04-30,66025.92,david.miller@example.com,,3.0,False,cloud tech,nevada
emp1026,frank,miller,25,inactive,2023-10-02,83979.01,frank.miller@example.com,,3.0,False,sales,new york
emp1027,heidi,johnson,30,active,2020-07-12,56785.16,heidi.johnson@example.com,,5.0,True,finance,florida
emp1028,grace,garcia,40,active,2023-10-11,95741.88,grace.garcia@example.com,,5.0,False,finance,nevada
emp1029,alice,brown,40,active,2021-05-24,63411.31,alice.brown@example.com,,5.0,True,devops,california
emp1030,charlie,jones,40,inactive,2021-05-26,111214.02,charlie.jones@example.com,,4.0,True,admin,california
emp1031,bob,smith,25,active,2020-07-10,114845.69,bob.smith@example.com,,5.0,True,devops,illinois
emp1032,charlie,brown,40,active,2024-11-05,78072.82,charlie.brown@example.com,,3.0,False,finance,florida
emp1033,grace,johnson,25,inactive,2021-08-07,79610.52,grace.johnson@example.com,,3.0,False,finance,california
emp1034,heidi,miller,30,active,2020-04-29,90542.62,heidi.miller@example.com,,5.0,True,admin,california
emp1035,frank,jones,25,inactive,2022-10-26,114357.1,frank.jones@example.com,,5.0,True,cloud tech,illinois
emp1036,alice,brown,32,active,2023-05-03,54757.26,alice.brown@example.com,,4.0,False,cloud tech,new york
emp1037,grace,smith,25,pending,2023-05-02,52781.92,grace.smith@example.com,,3.0,True,sales,new york
emp1038,frank,smith,35,pending,2021-10-05,66708.02,frank.smith@example.com,,4.0,True,admin,nevada
emp1039,eva,williams,40,active,2022-07-27,93481.15,eva.williams@example.com,,4.0,False,hr,texas
emp1040,bob,williams,25,pending,2021-06-27,59271.96,bob.williams@example.com,,5.0,True,sales,new york
emp1041,bob,davis,30,active,2022-06-16,108362.15,bob.davis@example.com,,5.0,False,hr,california
emp1042,alice,johnson,32,active,2024-12-03,59400.38,alice.johnson@example.com,,3.0,True,hr,nevada
emp1043,bob,garcia,32,inactive,2023-05-23,64744.08,bob.garcia@example.com,,5.0,False,admin,california
emp1044,eva,brown,32,active,2020-07-08,94399.91,eva.brown@example.com,,4.0,True,finance,california
emp1045,alice,brown,25,pending,2021-06-20,61310.74,alice.brown@example.com,,3.0,True,hr,new york
emp1046,grace,garcia,32,active,2024-12-13,98371.37,grace.garcia@example.com,,5.0,False,cloud tech,texas
emp1047,alice,davis,35,active,2022-05-30,58921.19,alice.davis@example.com,,3.0,True,sales,illinois
emp1048,alice,miller,35,active,2023-09-27,57195.55,alice.miller@example.com,,5.0,False,admin,nevada
emp1049,grace,miller,32,active,2024-11-05,61375.12,grace.miller@example.com,,5.0,True,devops,new york
emp1050,charlie,davis,40,pending,2021-11-11,104767.05,charlie.davis@example.com,,5.0,False,cloud tech,new york
emp1051,david,miller,35,active,2022-02-22,111051.67,david.miller@example.com,,4.0,False,admin,nevada
emp1052,david,williams,30,inactive,2024-08-07,105674.18,david.williams@example.com,,4.0,False,finance,california
emp1053,alice,brown,30,inactive,2024-11-05,54859.45,alice.brown@example.com,,3.0,False,finance,california
emp1054,frank,davis,32,pending,2021-11-09,115746.6,frank.davis@example.com,,5.0,True,finance,nevada
emp1055,eva,brown,30,active,2020-08-10,91759.99,eva.brown@example.com,,5.0,True,sales,california
emp1056,frank,garcia,40,active,2022-02-27,112965.33,frank.garcia@example.com,,4.0,False,sales,illinois
emp1057,alice,smith,40,pending,2023-11-07,100360.1,alice.smith@example.com,,5.0,False,cloud tech,illinois
emp1058,david,williams,35,pending,2021-11-07,93620.88,david.williams@example.com,,4.0,False,finance,texas
emp1059,bob,jones,35,pending,2022-04-16,72832.8,bob.jones@example.com,,5.0,True,sales,california
emp1060,charlie,williams,30,inactive,2023-10-19,102369.42,charlie.williams@example.com,,3.0,True,finance,nevada
emp1061,eva,davis,40,inactive,2021-08-10,64712.79,eva.davis@example.com,,5.0,True,sales,texas
emp1062,frank,jones,40,pending,2021-03-13,85782.18,frank.jones@example.com,,5.0,True,finance,florida
emp1063,charlie,smith,25,pending,2023-07-20,93348.26,charlie.smith@example.com,,4.0,False,hr,illinois
emp1064,david,davis,35,active,2020-02-20,53234.96,david.davis@example.com,,4.0,False,admin,new york
emp1065,bob,johnson,40,pending,2021-02-02,100284.21,bob.johnson@example.com,,5.0,False,finance,nevada
emp1066,grace,brown,30,pending,2020-01-12,112486.19,grace.brown@example.com,,5.0,True,admin,nevada
emp1067,bob,smith,40,pending,2022-11-26,82518.49,bob.smith@example.com,,4.0,True,admin,new york
emp1068,bob,brown,40,pending,2022-12-23,119152.47,bob.brown@example.com,,4.0,True,admin,florida
emp1069,heidi,miller,32,inactive,2024-08-28,113479.83,heidi.miller@example.com,,4.0,False,devops,illinois
emp1070,charlie,johnson,40,active,2024-09-16,94636.3,charlie.johnson@example.com,,4.0,False,finance,california
emp1071,heidi,johnson,30,active,2024-01-01,70000.97,heidi.johnson@example.com,,3.0,True,hr,texas
emp1072,frank,smith,32,active,2021-04-18,76812.47,frank.smith@example.com,,4.0,False,cloud tech,new york
emp1073,david,johnson,25,inactive,2023-01-16,82614.7,david.johnson@example.com,,3.0,True,finance,florida
emp1074,grace,jones,40,active,2024-10-20,111645.97,grace.jones@example.com,,4.0,True,sales,nevada
